admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,mt,Malta,83640313B68654222466820,Ghajnsielem,1693,775,2145,4.22777580491292,13.212981614119975,5.400769887108205,1.9361069325843807,3.536000780762789
ADM1,mt,Malta,83640313B7018961264202,Kercem,260,120,331,4.260843951006436,13.13136779339752,5.430601411973017,1.9607139868632104,3.3602979361794447
ADM1,mt,Malta,83640313B71897479502063,Mosta,3943,1805,4909,4.111364514035323,12.746489232098371,5.168734902630797,1.9078593914909097,3.48812626322137
ADM1,mt,Malta,83640313B73002924167818,Xghajra,1359,624,1709,4.262533177675451,13.832700301725438,5.387429790879578,1.966033694443022,3.64195277672433
ADM1,mt,Malta,83640313B74013889214184,Birzebbuga,3434,1625,4261,3.9605519078563898,12.405480864480868,4.914545840142465,1.8744003874777089,3.3248128274362667
ADM1,mt,Malta,83640313B77510365519263,Qala,440,205,563,4.234192769884712,13.45537060110582,5.423830621326055,1.97544477966858,3.6166468117257136
ADM1,mt,Malta,83640313B7765306055043,Sliema,4816,2149,6166,4.033418187971122,11.912787983666751,5.163666142538906,1.799771474730582,3.3196214894461424
ADM1,mt,Malta,83640313B77860025698397,Xewkija,919,419,1146,4.29087358546619,14.210030002345055,5.3510289604331005,1.956622609217464,3.6672587417229465
ADM1,mt,Malta,83640313B7809356491133,Ta' Xbiex,4816,2149,6166,4.033418187971122,11.912787983666751,5.163666142538906,1.799771474730582,3.3196214894461424
ADM1,mt,Malta,83640313B78298812320358,Zurrieq,6288,2920,8023,4.062280025438269,12.830913123914227,5.201930643666696,1.8821554826512303,3.3827788459611563
ADM1,mt,Malta,83640313B82103960374157,Fontana,1179,539,1477,4.275858768236313,13.670698897871286,5.390815186203058,1.9586682980403372,3.5137783389511954
ADM1,mt,Malta,83640313B86123259652058,Bormla,3434,1625,4261,3.9605519078563898,12.405480864480868,4.914545840142465,1.8744003874777089,3.3248128274362667
ADM1,mt,Malta,83640313B86772999416078,Xaghra,4349,2034,5432,4.09601428560151,12.46534616559438,5.165958936159154,1.8824612966210932,3.485081334217603
ADM1,mt,Malta,83640313B8772532342948,Saint John,4816,2149,6166,4.033418187971122,11.912787983666751,5.163666142538906,1.799771474730582,3.3196214894461424
ADM1,mt,Malta,83640313B88514626025467,Nadur,440,205,563,4.234192769884712,13.45537060110582,5.423830621326055,1.97544477966858,3.6166468117257136
ADM1,mt,Malta,83640313B88565641274383,Kalkara,3434,1625,4261,3.9605519078563898,12.405480864480868,4.914545840142465,1.8744003874777089,3.3248128274362667
ADM1,mt,Malta,83640313B8888822450135,Marsaxlokk,4349,2034,5432,4.09601428560151,12.46534616559438,5.165958936159154,1.8824612966210932,3.485081334217603
ADM1,mt,Malta,83640313B90013807190283,Gzira,4816,2149,6166,4.033418187971122,11.912787983666751,5.163666142538906,1.799771474730582,3.3196214894461424
ADM1,mt,Malta,83640313B90947412622423,Sannat,1179,539,1477,4.275858768236313,13.670698897871286,5.390815186203058,1.9586682980403372,3.5137783389511954
ADM1,mt,Malta,83640313B9160841896043,Kirkop,2854,1295,3762,4.164008143020148,13.25634538334759,5.489315447190927,1.889910577824752,3.440744864486046
ADM1,mt,Malta,83640313B92509450630993,Zejtun,3434,1625,4261,3.9605519078563898,12.405480864480868,4.914545840142465,1.8744003874777089,3.3248128274362667
ADM1,mt,Malta,83640313B93785663401147,Mellieha,334,151,436,4.158261059387859,11.97354423890905,5.427450079565461,1.8762534088670977,3.324096788839707
